2023-05-31T18:51:51.453+0530 [INFO]  Main.Core: Initializing IPFS
2023-05-31T18:51:54.890+0530 [INFO]  Main.Core: Waiting for IPFS daemon to start
2023-05-31T18:51:54.981+0530 [INFO]  Main.Core: Initializing daemon...
2023-05-31T18:51:54.982+0530 [INFO]  Main.Core: Kubo version: 0.17.0
2023-05-31T18:51:54.982+0530 [INFO]  Main.Core: Repo version: 12
2023-05-31T18:51:54.982+0530 [INFO]  Main.Core: System version: amd64/windows
2023-05-31T18:51:54.982+0530 [INFO]  Main.Core: Golang version: go1.19.1
2023-05-31T18:52:05.072+0530 [INFO]  Main.Core: Swarm is limited to private network of peers with the swarm key
2023-05-31T18:52:05.072+0530 [INFO]  Main.Core: Swarm key fingerprint: a5ef5059eede91e09c9994d112fd1e05
2023-05-31T18:52:05.073+0530 [INFO]  Main.Core: Swarm listening on /ip4/127.0.0.1/tcp/4004
2023-05-31T18:52:05.079+0530 [INFO]  Main.Core: Swarm listening on /ip4/169.254.115.8/tcp/4004
2023-05-31T18:52:05.081+0530 [INFO]  Main.Core: Swarm listening on /ip4/169.254.179.254/tcp/4004
2023-05-31T18:52:05.081+0530 [INFO]  Main.Core: Swarm listening on /ip4/169.254.230.155/tcp/4004
2023-05-31T18:52:05.082+0530 [INFO]  Main.Core: Swarm listening on /ip4/169.254.83.128/tcp/4004
2023-05-31T18:52:05.082+0530 [INFO]  Main.Core: Swarm listening on /ip4/192.168.1.20/tcp/4004
2023-05-31T18:52:05.083+0530 [INFO]  Main.Core: Swarm listening on /ip6/::1/tcp/4004
2023-05-31T18:52:05.083+0530 [INFO]  Main.Core: Swarm listening on /p2p-circuit
2023-05-31T18:52:05.083+0530 [INFO]  Main.Core: Swarm announcing /ip4/10.90.4.2/tcp/53689
2023-05-31T18:52:05.083+0530 [INFO]  Main.Core: Swarm announcing /ip4/127.0.0.1/tcp/4004
2023-05-31T18:52:05.083+0530 [INFO]  Main.Core: Swarm announcing /ip4/192.168.1.20/tcp/4004
2023-05-31T18:52:05.083+0530 [INFO]  Main.Core: Swarm announcing /ip6/::1/tcp/4004
2023-05-31T18:52:05.083+0530 [INFO]  Main.Core: API server listening on /ip4/127.0.0.1/tcp/5004
2023-05-31T18:52:05.084+0530 [INFO]  Main.Core: WebUI: http://127.0.0.1:5004/webui
2023-05-31T18:52:05.084+0530 [INFO]  Main.Core: Gateway (readonly) server listening on /ip4/127.0.0.1/tcp/8083
2023-05-31T18:52:05.084+0530 [INFO]  Main.Core: IPFS Daemon is ready
2023-05-31T18:52:07.183+0530 [INFO]  Main.Core: IPFS daemon requested to close
2023-05-31T18:52:07.183+0530 [INFO]  Main.Core: IPFS daemon finished
2023-05-31T18:52:07.198+0530 [INFO]  Main.Core: IPFS Initialized
2023-05-31T18:52:07.198+0530 [INFO]  Main.Core: Waiting for IPFS daemon to start
2023-05-31T18:52:07.278+0530 [INFO]  Main.Core: Initializing daemon...
2023-05-31T18:52:07.280+0530 [INFO]  Main.Core: Kubo version: 0.17.0
2023-05-31T18:52:07.280+0530 [INFO]  Main.Core: Repo version: 12
2023-05-31T18:52:07.280+0530 [INFO]  Main.Core: System version: amd64/windows
2023-05-31T18:52:07.280+0530 [INFO]  Main.Core: Golang version: go1.19.1
2023-05-31T18:52:08.498+0530 [INFO]  Main.Core: Swarm is limited to private network of peers with the swarm key
2023-05-31T18:52:08.501+0530 [INFO]  Main.Core: Swarm key fingerprint: a5ef5059eede91e09c9994d112fd1e05
2023-05-31T18:52:08.501+0530 [INFO]  Main.Core: Swarm listening on /ip4/127.0.0.1/tcp/4004
2023-05-31T18:52:08.501+0530 [INFO]  Main.Core: Swarm listening on /ip4/169.254.115.8/tcp/4004
2023-05-31T18:52:08.501+0530 [INFO]  Main.Core: Swarm listening on /ip4/169.254.179.254/tcp/4004
2023-05-31T18:52:08.502+0530 [INFO]  Main.Core: Swarm listening on /ip4/169.254.230.155/tcp/4004
2023-05-31T18:52:08.502+0530 [INFO]  Main.Core: Swarm listening on /ip4/169.254.83.128/tcp/4004
2023-05-31T18:52:08.502+0530 [INFO]  Main.Core: Swarm listening on /ip4/192.168.1.20/tcp/4004
2023-05-31T18:52:08.503+0530 [INFO]  Main.Core: Swarm listening on /ip6/::1/tcp/4004
2023-05-31T18:52:08.504+0530 [INFO]  Main.Core: Swarm listening on /p2p-circuit
2023-05-31T18:52:08.504+0530 [INFO]  Main.Core: Swarm announcing /ip4/127.0.0.1/tcp/4004
2023-05-31T18:52:08.504+0530 [INFO]  Main.Core: Swarm announcing /ip4/192.168.1.20/tcp/4004
2023-05-31T18:52:08.505+0530 [INFO]  Main.Core: Swarm announcing /ip6/::1/tcp/4004
2023-05-31T18:52:08.505+0530 [INFO]  Main.Core: API server listening on /ip4/127.0.0.1/tcp/5004
2023-05-31T18:52:08.505+0530 [INFO]  Main.Core: WebUI: http://127.0.0.1:5004/webui
2023-05-31T18:52:08.506+0530 [INFO]  Main.Core: Gateway (readonly) server listening on /ip4/127.0.0.1/tcp/8083
2023-05-31T18:52:08.506+0530 [INFO]  Main.Core: IPFS Daemon is ready
2023-05-31T18:52:08.509+0530 [INFO]  Main.Core: Node PeerID : 12D3KooWBvfrLtAZSM4EAP3FA6XeNwV8KtsFCJTQG1CgWs2TVZor
2023-05-31T18:52:08.509+0530 [INFO]  Main.Core: Setting up the core
