2023-05-31T18:53:54.897+0530 [INFO]  Main.Core: Initializing IPFS
2023-05-31T18:53:58.172+0530 [INFO]  Main.Core: Waiting for IPFS daemon to start
2023-05-31T18:53:58.237+0530 [INFO]  Main.Core: Initializing daemon...
2023-05-31T18:53:58.237+0530 [INFO]  Main.Core: Kubo version: 0.17.0
2023-05-31T18:53:58.239+0530 [INFO]  Main.Core: Repo version: 12
2023-05-31T18:53:58.239+0530 [INFO]  Main.Core: System version: amd64/windows
2023-05-31T18:53:58.240+0530 [INFO]  Main.Core: Golang version: go1.19.1
2023-05-31T18:54:08.388+0530 [INFO]  Main.Core: Swarm is limited to private network of peers with the swarm key
2023-05-31T18:54:08.389+0530 [INFO]  Main.Core: Swarm key fingerprint: a5ef5059eede91e09c9994d112fd1e05
2023-05-31T18:54:08.390+0530 [INFO]  Main.Core: Swarm listening on /ip4/127.0.0.1/tcp/4006
2023-05-31T18:54:08.396+0530 [INFO]  Main.Core: Swarm listening on /ip4/169.254.115.8/tcp/4006
2023-05-31T18:54:08.397+0530 [INFO]  Main.Core: Swarm listening on /ip4/169.254.179.254/tcp/4006
2023-05-31T18:54:08.397+0530 [INFO]  Main.Core: Swarm listening on /ip4/169.254.230.155/tcp/4006
2023-05-31T18:54:08.397+0530 [INFO]  Main.Core: Swarm listening on /ip4/169.254.83.128/tcp/4006
2023-05-31T18:54:08.398+0530 [INFO]  Main.Core: Swarm listening on /ip4/192.168.1.20/tcp/4006
2023-05-31T18:54:08.398+0530 [INFO]  Main.Core: Swarm listening on /ip6/::1/tcp/4006
2023-05-31T18:54:08.398+0530 [INFO]  Main.Core: Swarm listening on /p2p-circuit
2023-05-31T18:54:08.398+0530 [INFO]  Main.Core: Swarm announcing /ip4/10.90.4.2/tcp/19992
2023-05-31T18:54:08.398+0530 [INFO]  Main.Core: Swarm announcing /ip4/127.0.0.1/tcp/4006
2023-05-31T18:54:08.398+0530 [INFO]  Main.Core: Swarm announcing /ip4/192.168.1.20/tcp/4006
2023-05-31T18:54:08.398+0530 [INFO]  Main.Core: Swarm announcing /ip6/::1/tcp/4006
2023-05-31T18:54:08.398+0530 [INFO]  Main.Core: API server listening on /ip4/127.0.0.1/tcp/5006
2023-05-31T18:54:08.398+0530 [INFO]  Main.Core: WebUI: http://127.0.0.1:5006/webui
2023-05-31T18:54:08.399+0530 [INFO]  Main.Core: Gateway (readonly) server listening on /ip4/127.0.0.1/tcp/8085
2023-05-31T18:54:08.399+0530 [INFO]  Main.Core: IPFS Daemon is ready
2023-05-31T18:54:10.483+0530 [INFO]  Main.Core: IPFS daemon requested to close
2023-05-31T18:54:10.484+0530 [INFO]  Main.Core: IPFS daemon finished
2023-05-31T18:54:10.500+0530 [INFO]  Main.Core: IPFS Initialized
2023-05-31T18:54:10.500+0530 [INFO]  Main.Core: Waiting for IPFS daemon to start
2023-05-31T18:54:10.579+0530 [INFO]  Main.Core: Initializing daemon...
2023-05-31T18:54:10.582+0530 [INFO]  Main.Core: Kubo version: 0.17.0
2023-05-31T18:54:10.582+0530 [INFO]  Main.Core: Repo version: 12
2023-05-31T18:54:10.582+0530 [INFO]  Main.Core: System version: amd64/windows
2023-05-31T18:54:10.582+0530 [INFO]  Main.Core: Golang version: go1.19.1
2023-05-31T18:54:13.018+0530 [INFO]  Main.Core: Swarm is limited to private network of peers with the swarm key
2023-05-31T18:54:13.022+0530 [INFO]  Main.Core: Swarm key fingerprint: a5ef5059eede91e09c9994d112fd1e05
2023-05-31T18:54:13.026+0530 [INFO]  Main.Core: Swarm listening on /ip4/127.0.0.1/tcp/4006
2023-05-31T18:54:13.028+0530 [INFO]  Main.Core: Swarm listening on /ip4/169.254.115.8/tcp/4006
2023-05-31T18:54:13.029+0530 [INFO]  Main.Core: Swarm listening on /ip4/169.254.179.254/tcp/4006
2023-05-31T18:54:13.030+0530 [INFO]  Main.Core: Swarm listening on /ip4/169.254.230.155/tcp/4006
2023-05-31T18:54:13.030+0530 [INFO]  Main.Core: Swarm listening on /ip4/169.254.83.128/tcp/4006
2023-05-31T18:54:13.030+0530 [INFO]  Main.Core: Swarm listening on /ip4/192.168.1.20/tcp/4006
2023-05-31T18:54:13.030+0530 [INFO]  Main.Core: Swarm listening on /ip6/::1/tcp/4006
2023-05-31T18:54:13.031+0530 [INFO]  Main.Core: Swarm listening on /p2p-circuit
2023-05-31T18:54:13.031+0530 [INFO]  Main.Core: Swarm announcing /ip4/127.0.0.1/tcp/4006
2023-05-31T18:54:13.031+0530 [INFO]  Main.Core: Swarm announcing /ip4/192.168.1.20/tcp/4006
2023-05-31T18:54:13.031+0530 [INFO]  Main.Core: Swarm announcing /ip6/::1/tcp/4006
2023-05-31T18:54:13.032+0530 [INFO]  Main.Core: API server listening on /ip4/127.0.0.1/tcp/5006
2023-05-31T18:54:13.032+0530 [INFO]  Main.Core: WebUI: http://127.0.0.1:5006/webui
2023-05-31T18:54:13.033+0530 [INFO]  Main.Core: Gateway (readonly) server listening on /ip4/127.0.0.1/tcp/8085
2023-05-31T18:54:13.033+0530 [INFO]  Main.Core: IPFS Daemon is ready
2023-05-31T18:54:13.037+0530 [INFO]  Main.Core: Node PeerID : 12D3KooWAAL8MygPTLCuB4pEVfgtvoK976j6t13rczrLq6ak3qVL
2023-05-31T18:54:13.037+0530 [INFO]  Main.Core: Setting up the core
2023-05-31T18:54:13.042+0530 [INFO]  Main.Core.PeerManager: Bootstrap swarm connected
2023-05-31T18:54:13.045+0530 [INFO]  Main.Core.PeerManager: Bootstrap swarm connected
2023-05-31T18:54:13.048+0530 [INFO]  Main.Core.PeerManager: Bootstrap swarm connected
2023-05-31T18:54:13.051+0530 [INFO]  Main.Core: Starting the core
2023-05-31T18:54:13.051+0530 [INFO]  Main.Core.enswebserver: Starting Server at localhost:26010
2023-05-31T18:54:13.063+0530 [INFO]  Main.Core.enswebserver: Server running at : https://localhost:26010
2023-05-31T18:54:13.065+0530 [INFO]  Main: Swagger URL : http://0.0.0.0:20004/swagger/index.html
2023-05-31T18:54:13.066+0530 [INFO]  Main: Core version : 0.0.8
2023-05-31T18:54:13.066+0530 [INFO]  Main: Starting server...
2023-05-31T18:54:13.067+0530 [INFO]  Main.enswebserver: Starting Server at 0.0.0.0:20004
2023-05-31T18:54:13.068+0530 [INFO]  Main.enswebserver: Server running at : http://0.0.0.0:20004
2023-05-31T19:59:07.328+0530 [INFO]  Main.Core: IPFS daemon requested to close
2023-05-31T19:59:07.337+0530 [INFO]  Main.Core: IPFS daemon finished
2023-05-31T19:59:07.362+0530 [INFO]  Main: Shutting down...
2023-06-01T11:21:43.808+0530 [INFO]  Main.Core: Waiting for IPFS daemon to start
2023-06-01T11:21:43.903+0530 [INFO]  Main.Core: Initializing daemon...
2023-06-01T11:21:43.903+0530 [INFO]  Main.Core: Kubo version: 0.17.0
2023-06-01T11:21:43.904+0530 [INFO]  Main.Core: Repo version: 12
2023-06-01T11:21:43.909+0530 [INFO]  Main.Core: System version: amd64/windows
2023-06-01T11:21:43.909+0530 [INFO]  Main.Core: Golang version: go1.19.1
2023-06-01T11:21:45.279+0530 [INFO]  Main.Core: Swarm is limited to private network of peers with the swarm key
2023-06-01T11:21:45.280+0530 [INFO]  Main.Core: Swarm key fingerprint: a5ef5059eede91e09c9994d112fd1e05
2023-06-01T11:21:45.280+0530 [INFO]  Main.Core: Swarm listening on /ip4/127.0.0.1/tcp/4006
2023-06-01T11:21:45.280+0530 [INFO]  Main.Core: Swarm listening on /ip4/169.254.179.254/tcp/4006
2023-06-01T11:21:45.282+0530 [INFO]  Main.Core: Swarm listening on /ip4/169.254.230.155/tcp/4006
2023-06-01T11:21:45.282+0530 [INFO]  Main.Core: Swarm listening on /ip4/169.254.83.128/tcp/4006
2023-06-01T11:21:45.282+0530 [INFO]  Main.Core: Swarm listening on /ip4/192.168.0.109/tcp/4006
2023-06-01T11:21:45.282+0530 [INFO]  Main.Core: Swarm listening on /ip4/192.168.137.1/tcp/4006
2023-06-01T11:21:45.282+0530 [INFO]  Main.Core: Swarm listening on /ip6/::1/tcp/4006
2023-06-01T11:21:45.282+0530 [INFO]  Main.Core: Swarm listening on /p2p-circuit
2023-06-01T11:21:45.282+0530 [INFO]  Main.Core: Swarm announcing /ip4/127.0.0.1/tcp/4006
2023-06-01T11:21:45.282+0530 [INFO]  Main.Core: Swarm announcing /ip4/192.168.0.109/tcp/4006
2023-06-01T11:21:45.282+0530 [INFO]  Main.Core: Swarm announcing /ip6/::1/tcp/4006
2023-06-01T11:21:45.282+0530 [INFO]  Main.Core: API server listening on /ip4/127.0.0.1/tcp/5006
2023-06-01T11:21:45.282+0530 [INFO]  Main.Core: WebUI: http://127.0.0.1:5006/webui
2023-06-01T11:21:45.286+0530 [INFO]  Main.Core: Gateway (readonly) server listening on /ip4/127.0.0.1/tcp/8085
2023-06-01T11:21:45.293+0530 [INFO]  Main.Core: IPFS Daemon is ready
2023-06-01T11:21:45.326+0530 [INFO]  Main.Core: Node PeerID : 12D3KooWAAL8MygPTLCuB4pEVfgtvoK976j6t13rczrLq6ak3qVL
2023-06-01T11:21:45.328+0530 [INFO]  Main.Core: Setting up the core
2023-06-01T11:21:45.354+0530 [INFO]  Main.Core.PeerManager: Bootstrap swarm connected
2023-06-01T11:21:45.380+0530 [INFO]  Main.Core.PeerManager: Bootstrap swarm connected
2023-06-01T11:21:45.404+0530 [INFO]  Main.Core.PeerManager: Bootstrap swarm connected
2023-06-01T11:21:45.426+0530 [INFO]  Main.Core: Starting the core
2023-06-01T11:21:45.437+0530 [INFO]  Main.Core.enswebserver: Starting Server at localhost:26010
2023-06-01T11:21:45.501+0530 [INFO]  Main.Core.enswebserver: Server running at : https://localhost:26010
2023-06-01T11:21:45.519+0530 [INFO]  Main: Swagger URL : http://0.0.0.0:20004/swagger/index.html
2023-06-01T11:21:45.529+0530 [INFO]  Main: Core version : 0.0.8
2023-06-01T11:21:45.533+0530 [INFO]  Main: Starting server...
2023-06-01T11:21:45.545+0530 [INFO]  Main.enswebserver: Starting Server at 0.0.0.0:20004
2023-06-01T11:21:45.660+0530 [INFO]  Main.enswebserver: Server running at : http://0.0.0.0:20004
2023-06-01T11:27:20.325+0530 [INFO]  Main.Core: DID : bafybmih2lamjpbirhoodbirlgod6f72sqiwxyrjlrvsvyr6gsor56pn5r4, Time to create DID & Keys : 4m3.3502356s
2023-06-01T11:35:15.724+0530 [INFO]  Main.Core.unpledge: Unpledging started
2023-06-01T11:35:15.725+0530 [INFO]  Main.Core.unpledge: All tokens are unplegded
2023-06-01T16:24:27.035+0530 [DEBUG] Main.Core: Request for pledge
2023-06-01T16:24:56.520+0530 [DEBUG] Main.Core: Request for pledge
2023-06-01T16:25:36.120+0530 [DEBUG] Main.Core: Request for pledge
2023-06-01T16:28:07.405+0530 [DEBUG] Main.Core: Request for pledge
2023-06-01T16:29:19.607+0530 [DEBUG] Main.Core: Request for pledge
2023-06-01T16:33:37.412+0530 [DEBUG] Main.Core: Request for pledge
2023-06-01T16:42:43.222+0530 [DEBUG] Main.Core: Request for pledge
2023-06-01T17:27:22.204+0530 [INFO]  Main.Rubixplatform: Shutting down...
2023-06-01T17:27:25.233+0530 [INFO]  Main.Core: IPFS daemon requested to close
2023-06-01T17:27:25.235+0530 [INFO]  Main.Core: IPFS daemon finished
2023-06-01T17:27:25.248+0530 [INFO]  Main: Shutting down...
2023-06-02T10:44:44.575+0530 [INFO]  Main.Core: Waiting for IPFS daemon to start
2023-06-02T10:44:44.709+0530 [INFO]  Main.Core: Initializing daemon...
2023-06-02T10:44:44.711+0530 [INFO]  Main.Core: Kubo version: 0.17.0
2023-06-02T10:44:44.711+0530 [INFO]  Main.Core: Repo version: 12
2023-06-02T10:44:44.711+0530 [INFO]  Main.Core: System version: amd64/windows
2023-06-02T10:44:44.711+0530 [INFO]  Main.Core: Golang version: go1.19.1
2023-06-02T10:44:45.294+0530 [INFO]  Main.Core: Swarm is limited to private network of peers with the swarm key
2023-06-02T10:44:45.294+0530 [INFO]  Main.Core: Swarm key fingerprint: e5b34b687a4f51be1e700825ad8de4ef
2023-06-02T10:44:45.294+0530 [INFO]  Main.Core: Swarm listening on /ip4/127.0.0.1/tcp/4006
