2023-05-31T18:52:48.209+0530 [INFO]  Main.Core: Initializing IPFS
2023-05-31T18:52:51.562+0530 [INFO]  Main.Core: Waiting for IPFS daemon to start
2023-05-31T18:52:51.634+0530 [INFO]  Main.Core: Initializing daemon...
2023-05-31T18:52:51.636+0530 [INFO]  Main.Core: Kubo version: 0.17.0
2023-05-31T18:52:51.636+0530 [INFO]  Main.Core: Repo version: 12
2023-05-31T18:52:51.636+0530 [INFO]  Main.Core: System version: amd64/windows
2023-05-31T18:52:51.636+0530 [INFO]  Main.Core: Golang version: go1.19.1
2023-05-31T18:53:01.716+0530 [INFO]  Main.Core: Swarm is limited to private network of peers with the swarm key
2023-05-31T18:53:01.716+0530 [INFO]  Main.Core: Swarm key fingerprint: a5ef5059eede91e09c9994d112fd1e05
2023-05-31T18:53:01.717+0530 [INFO]  Main.Core: Swarm listening on /ip4/127.0.0.1/tcp/4005
2023-05-31T18:53:01.722+0530 [INFO]  Main.Core: Swarm listening on /ip4/169.254.115.8/tcp/4005
2023-05-31T18:53:01.722+0530 [INFO]  Main.Core: Swarm listening on /ip4/169.254.179.254/tcp/4005
2023-05-31T18:53:01.722+0530 [INFO]  Main.Core: Swarm listening on /ip4/169.254.230.155/tcp/4005
2023-05-31T18:53:01.723+0530 [INFO]  Main.Core: Swarm listening on /ip4/169.254.83.128/tcp/4005
2023-05-31T18:53:01.723+0530 [INFO]  Main.Core: Swarm listening on /ip4/192.168.1.20/tcp/4005
2023-05-31T18:53:01.723+0530 [INFO]  Main.Core: Swarm listening on /ip6/::1/tcp/4005
2023-05-31T18:53:01.724+0530 [INFO]  Main.Core: Swarm listening on /p2p-circuit
2023-05-31T18:53:01.724+0530 [INFO]  Main.Core: Swarm announcing /ip4/10.90.4.2/tcp/44804
2023-05-31T18:53:01.724+0530 [INFO]  Main.Core: Swarm announcing /ip4/127.0.0.1/tcp/4005
2023-05-31T18:53:01.724+0530 [INFO]  Main.Core: Swarm announcing /ip4/192.168.1.20/tcp/4005
2023-05-31T18:53:01.724+0530 [INFO]  Main.Core: Swarm announcing /ip6/::1/tcp/4005
2023-05-31T18:53:01.725+0530 [INFO]  Main.Core: API server listening on /ip4/127.0.0.1/tcp/5005
2023-05-31T18:53:01.725+0530 [INFO]  Main.Core: WebUI: http://127.0.0.1:5005/webui
2023-05-31T18:53:01.725+0530 [INFO]  Main.Core: Gateway (readonly) server listening on /ip4/127.0.0.1/tcp/8084
2023-05-31T18:53:01.725+0530 [INFO]  Main.Core: IPFS Daemon is ready
2023-05-31T18:53:03.824+0530 [INFO]  Main.Core: IPFS daemon requested to close
2023-05-31T18:53:03.824+0530 [INFO]  Main.Core: IPFS daemon finished
2023-05-31T18:53:03.840+0530 [INFO]  Main.Core: IPFS Initialized
2023-05-31T18:53:03.840+0530 [INFO]  Main.Core: Waiting for IPFS daemon to start
2023-05-31T18:53:03.924+0530 [INFO]  Main.Core: Initializing daemon...
2023-05-31T18:53:03.924+0530 [INFO]  Main.Core: Kubo version: 0.17.0
2023-05-31T18:53:03.924+0530 [INFO]  Main.Core: Repo version: 12
2023-05-31T18:53:03.924+0530 [INFO]  Main.Core: System version: amd64/windows
2023-05-31T18:53:03.925+0530 [INFO]  Main.Core: Golang version: go1.19.1
2023-05-31T18:53:06.646+0530 [INFO]  Main.Core: Swarm is limited to private network of peers with the swarm key
2023-05-31T18:53:06.647+0530 [INFO]  Main.Core: Swarm key fingerprint: a5ef5059eede91e09c9994d112fd1e05
2023-05-31T18:53:06.648+0530 [INFO]  Main.Core: Swarm listening on /ip4/127.0.0.1/tcp/4005
2023-05-31T18:53:06.649+0530 [INFO]  Main.Core: Swarm listening on /ip4/169.254.115.8/tcp/4005
2023-05-31T18:53:06.649+0530 [INFO]  Main.Core: Swarm listening on /ip4/169.254.179.254/tcp/4005
2023-05-31T18:53:06.649+0530 [INFO]  Main.Core: Swarm listening on /ip4/169.254.230.155/tcp/4005
2023-05-31T18:53:06.649+0530 [INFO]  Main.Core: Swarm listening on /ip4/169.254.83.128/tcp/4005
2023-05-31T18:53:06.649+0530 [INFO]  Main.Core: Swarm listening on /ip4/192.168.1.20/tcp/4005
2023-05-31T18:53:06.649+0530 [INFO]  Main.Core: Swarm listening on /ip6/::1/tcp/4005
2023-05-31T18:53:06.650+0530 [INFO]  Main.Core: Swarm listening on /p2p-circuit
2023-05-31T18:53:06.650+0530 [INFO]  Main.Core: Swarm announcing /ip4/127.0.0.1/tcp/4005
2023-05-31T18:53:06.651+0530 [INFO]  Main.Core: Swarm announcing /ip4/192.168.1.20/tcp/4005
2023-05-31T18:53:06.651+0530 [INFO]  Main.Core: Swarm announcing /ip6/::1/tcp/4005
2023-05-31T18:53:06.652+0530 [INFO]  Main.Core: API server listening on /ip4/127.0.0.1/tcp/5005
2023-05-31T18:53:06.652+0530 [INFO]  Main.Core: WebUI: http://127.0.0.1:5005/webui
2023-05-31T18:53:06.652+0530 [INFO]  Main.Core: Gateway (readonly) server listening on /ip4/127.0.0.1/tcp/8084
2023-05-31T18:53:06.653+0530 [INFO]  Main.Core: IPFS Daemon is ready
2023-05-31T18:53:06.661+0530 [INFO]  Main.Core: Node PeerID : 12D3KooWEp8BuqNin8yuBvoVUk1iNTeDpcc7qzdd1DW1C4szYem3
2023-05-31T18:53:06.661+0530 [INFO]  Main.Core: Setting up the core
2023-05-31T18:53:06.670+0530 [INFO]  Main.Core.PeerManager: Bootstrap swarm connected
2023-05-31T18:53:06.675+0530 [INFO]  Main.Core.PeerManager: Bootstrap swarm connected
2023-05-31T18:53:06.681+0530 [INFO]  Main.Core.PeerManager: Bootstrap swarm connected
2023-05-31T18:53:06.687+0530 [INFO]  Main.Core: Starting the core
2023-05-31T18:53:06.693+0530 [INFO]  Main.Core.enswebserver: Starting Server at localhost:25010
2023-05-31T18:53:06.724+0530 [INFO]  Main.Core.enswebserver: Server running at : https://localhost:25010
2023-05-31T18:53:06.726+0530 [INFO]  Main: Swagger URL : http://0.0.0.0:20003/swagger/index.html
2023-05-31T18:53:06.727+0530 [INFO]  Main: Core version : 0.0.8
2023-05-31T18:53:06.728+0530 [INFO]  Main: Starting server...
2023-05-31T18:53:06.729+0530 [INFO]  Main.enswebserver: Starting Server at 0.0.0.0:20003
2023-05-31T18:53:06.730+0530 [INFO]  Main.enswebserver: Server running at : http://0.0.0.0:20003
2023-05-31T19:59:07.323+0530 [INFO]  Main.Core: IPFS daemon requested to close
2023-05-31T19:59:07.337+0530 [INFO]  Main.Core: IPFS daemon finished
2023-05-31T19:59:07.389+0530 [INFO]  Main: Shutting down...
2023-06-01T11:20:25.149+0530 [INFO]  Main.Core: Waiting for IPFS daemon to start
2023-06-01T11:20:25.251+0530 [INFO]  Main.Core: Initializing daemon...
2023-06-01T11:20:25.251+0530 [INFO]  Main.Core: Kubo version: 0.17.0
2023-06-01T11:20:25.252+0530 [INFO]  Main.Core: Repo version: 12
2023-06-01T11:20:25.252+0530 [INFO]  Main.Core: System version: amd64/windows
2023-06-01T11:20:25.252+0530 [INFO]  Main.Core: Golang version: go1.19.1
2023-06-01T11:20:26.551+0530 [INFO]  Main.Core: Swarm is limited to private network of peers with the swarm key
2023-06-01T11:20:26.556+0530 [INFO]  Main.Core: Swarm key fingerprint: a5ef5059eede91e09c9994d112fd1e05
2023-06-01T11:20:26.560+0530 [INFO]  Main.Core: Swarm listening on /ip4/127.0.0.1/tcp/4005
2023-06-01T11:20:26.566+0530 [INFO]  Main.Core: Swarm listening on /ip4/169.254.179.254/tcp/4005
2023-06-01T11:20:26.570+0530 [INFO]  Main.Core: Swarm listening on /ip4/169.254.230.155/tcp/4005
