2023-05-31T18:54:46.760+0530 [INFO]  Main.enswebserver: Server running at : http://0.0.0.0:20005
2023-05-31T19:59:07.323+0530 [INFO]  Main.Core: IPFS daemon requested to close
2023-05-31T19:59:07.338+0530 [INFO]  Main.Core: IPFS daemon finished
2023-05-31T19:59:07.374+0530 [INFO]  Main: Shutting down...
2023-06-02T12:31:21.157+0530 [INFO]  Main.Core: Waiting for IPFS daemon to start
2023-06-02T12:31:21.772+0530 [INFO]  Main.Core: Initializing daemon...
2023-06-02T12:31:21.772+0530 [INFO]  Main.Core: Kubo version: 0.17.0
2023-06-02T12:31:21.772+0530 [INFO]  Main.Core: Repo version: 12
2023-06-02T12:31:21.772+0530 [INFO]  Main.Core: System version: amd64/windows
2023-06-02T12:31:21.772+0530 [INFO]  Main.Core: Golang version: go1.19.1
2023-06-02T12:31:22.714+0530 [INFO]  Main.Core: Swarm is limited to private network of peers with the swarm key
2023-06-02T12:31:22.714+0530 [INFO]  Main.Core: Swarm key fingerprint: e5b34b687a4f51be1e700825ad8de4ef
2023-06-02T12:31:22.714+0530 [INFO]  Main.Core: Swarm listening on /ip4/127.0.0.1/tcp/4007
2023-06-02T12:31:22.714+0530 [INFO]  Main.Core: Swarm listening on /ip4/169.254.179.254/tcp/4007
2023-06-02T12:31:22.714+0530 [INFO]  Main.Core: Swarm listening on /ip4/169.254.230.155/tcp/4007
2023-06-02T12:31:22.715+0530 [INFO]  Main.Core: Swarm listening on /ip4/169.254.83.128/tcp/4007
2023-06-02T12:31:22.715+0530 [INFO]  Main.Core: Swarm listening on /ip4/192.168.0.111/tcp/4007
2023-06-02T12:31:22.715+0530 [INFO]  Main.Core: Swarm listening on /ip4/192.168.137.1/tcp/4007
2023-06-02T12:31:22.715+0530 [INFO]  Main.Core: Swarm listening on /ip6/::1/tcp/4007
2023-06-02T12:31:22.715+0530 [INFO]  Main.Core: Swarm listening on /p2p-circuit
2023-06-02T12:31:22.716+0530 [INFO]  Main.Core: Swarm announcing /ip4/127.0.0.1/tcp/4007
2023-06-02T12:31:22.716+0530 [INFO]  Main.Core: Swarm announcing /ip4/192.168.0.111/tcp/4007
